// use this 
Id	FileName	Copyright	Title	Subject	Description	Tags	ThematicLink	Authors 
KNW-0436_broom_en	KNW-0436_broom_en.png	© Juan R. Lascorz, via Wikimedia Commons	Broom		Brooms	מַטְאֲטֵא; σαρόω	Realia:5.21.2	https://commons.wikimedia.org/wiki/File:37.Escopallos.JPG
PTZ-0102_WEB-0675_nettles	PTZ-0102_WEB-0675_nettles.jpg	© Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0, via Wikimedia Commons	Nettle		Nettle plant	חָרוּל; סָרָב; סִרְפַּד; קִמּוֹשׂ	Flora:6.2.2	https://commons.wikimedia.org/wiki/File:Urtica_membranacea_kz08.jpg
PTZ-0133_tulip	PTZ-0133_tulip.jpg	© Zachi Evenor, CC BY 3.0, via Wikimedia Commons	Tulip		Tulip	חֲבַצֶּלֶת	Flora:6.1.5	https://commons.wikimedia.org/wiki/File:Tulipa-Sharonensis-ZE-5487.jpg
UBS-0003_flea	UBS-0003_flea.jpg	© Katja ZSM, CC BY-SA 3.0, via Wikimedia Commons	Flea		Flea	פַּרְעֹשׁ	Fauna:6.3	https://commons.wikimedia.org/wiki/File:Pulex_irritans_female_ZSM.jpg
UBS-0011_linen_wrapping	UBS-0011_linen_wrapping.jpg	© Biblioteca Museu Víctor Balaguer, CC BY-SA 4.0, via Wikimedia Commons	Linen		Strips of linen used to wrap mummified bodies in Egypt	אֵטוּן; בַּד; בּוּץ ; פֵּשֶׁת; שֵׁשׁ; βύσσινος; βύσσος; λίνον; λινοῦς; ὀθόνιον; σινδών	Realia:1.5.3.7	https://commons.wikimedia.org/wiki/File:BMVB_benes_1380.JPG
UBS-0012_patches_sewn	UBS-0012_patches_sewn.jpg	Gary Todd, Israel Museum, CC0, via Wikimedia Commons	Patch		Patches sewn on an old waterskin	תלא; ἐπίβλημα; πλήρωμα; ῥάκος	Realia:1.5.3.12	https://commons.wikimedia.org/wiki/File:Leather_Waterskin,_Cave_of_the_Letters,_Judean_Desert,_132-135_AD_(28349539727).jpg
WEB-0001_aaron_rod	WEB-0001_aaron_rod.jpg	Julius Schnorr von Carolsfeld, Public domain	Aaron 	 	'Aaron's rod budded and blossomed' (woodcut by Julius Schnorr von Carolsfeld; 1860s) 	MVR 		https://upload.wikimedia.org/wikipedia/commons/c/cb/Foster_Bible_Pictures_0078-1_Aaron%27s_Rod_Budded_and_Blossomed.jpg
WEB-0002_acaciaflower	WEB-0002_acaciaflower.jpg	© B. Attard, CC BY-SA 3.0, via Wikimedia Commons	Acacia		Acacia flowers	שִׁטָּה	Flora:1.1	https://commons.wikimedia.org/wiki/File:Acacia_tortilis_subsp_heteracantha,_blomtyd,_Lekkerbreek-plaas,_b.jpg
WEB-0003_acaciathorns	WEB-0003_acaciathorns.jpg	© Forestowlet, CC BY-SA 4.0, via Wikimedia Commons	Acacia 	 	Thorns on an acacia branch (desert national park, Jaisalmer, Rajasthan) 	ἀκάνθινος; ἄκανθα; שִׁטָּה 	Flora:1.1	https://commons.wikimedia.org/wiki/File:Acacia_tortilis_05.jpg
WEB-0004_acorn	WEB-0004_acorn.jpg	© Giancarlo Dessi, CC BY-SA 3.0, via Wikimedia Commons	Oak	NATURAL WORLD	Acorn seeds from a kermes oak tree	MVR	Flora:1.16	https://commons.wikimedia.org/wiki/File:Quercus_coccifera_g3.jpg
WEB-0005_acropolis_athens	WEB-0005_acropolis_athens.jpg	Jebulon, CC0, via Wikimedia Commons	Moon		Acropolis of Athens, from the west, in the evening light	MVR; Ἀθῆναι; Ἀθηναῖος; Ἄρειος Πάγος; Ἀρεοπαγίτης; יָרֵחַ; σελήνη		https://commons.wikimedia.org/wiki/File:Erechtheum_Acropolis_Athens_evening_moon.jpg
WEB-0006_addax	WEB-0006_addax.jpg	© Ltshears, CC BY-SA 3.0, via Wikimedia Commons	Addax		Addax		Fauna:2.2	https://commons.wikimedia.org/wiki/File:Addax_at_the_Louisville_Zoo.jpg
WEB-0007_addax	WEB-0007_addax.jpg	© Zachi Evenor, CC BY 3.0 or CC BY 2.0, via Wikimedia Commons	Addax	NATURAL WORLD	Two addaxes grazing (Addax nasomaculatus)	MVR; דִּישׁוֹן	Fauna:2.2	https://upload.wikimedia.org/wikipedia/commons/3/31/Addax-1-Zachi-Evenor.jpg
WEB-0008_adze	WEB-0008_adze.jpg	Gary Todd, Israel Museum, CC0, via Wikimedia Commons	Adze 	 	An axe with a stone head, and a wooden adze (Israel Museum) 	בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς 	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:Stone_Axe_%26_Adze_(41406270810).jpg
WEB-0009_adze	WEB-0009_adze.jpg	© Tropenmuseum, part of the National Museum of World Cultures, CC BY-SA 3.0, via Wikimedia Commons	Adze	OBJECTS, TOOLS & TRADES	Adze with a metal blade	MVR; בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:COLLECTIE_TROPENMUSEUM_Dissel_met_houten_steel_TMnr_15-236.jpg
WEB-0010_adze	WEB-0010_adze.jpg	© sarahkassim (Flickr: Guimarães), CC BY 2.0, via Wikimedia Commons	Adze	OBJECTS, TOOLS & TRADES	Adze with a stone head	MVR; בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:Objecto_no_Museu_da_Sociedade_Martins_Sarmento_em_Guimar%C3%A3es.jpg
WEB-0011_africanelephant	WEB-0011_africanelephant.jpg	CC0, Pixabay	Elephant	NATURAL WORLD	An African elephant	MVR	Fauna:2.14	https://pixabay.com/images/id-2923912/
WEB-0012_agama_female	WEB-0012_agama_female.jpg	David Gunn Daviegunn, Public domain, via Wikimedia Commons	Lizard	NATURAL WORLD	Agama lizard	MVR; ἑρπετόν; רֶמֶשׂ; לְטָאָה	Fauna:4.3	https://commons.wikimedia.org/wiki/File:Agama_WEB-0012_agama_female.jpg
WEB-0013_agama_lizard	WEB-0013_agama_lizard.jpg	© Carl Purcell, CC BY-SA 3.0, via Wikimedia Commons	Lizard	NATURAL WORLD	Agama lizard	MVR; רֶמֶשׂ; לְטָאָה	Fauna:4.6	https://commons.wikimedia.org/wiki/File:Agama_lizard_on_hot_rock.jpg
WEB-0014_agama_lizards	WEB-0014_agama_lizards.jpg	Norbert Potensky, Public domain, via Wikimedia Commons	Lizard		Agama lizard	לְטָאָה	Fauna:4.6	https://commons.wikimedia.org/wiki/File:Red-headed_rock_agama_1.jpg
WEB-0015_agarwood	WEB-0015_agarwood.jpg	© Vinayaraj, CC BY-SA 4.0, via Wikimedia Commons	Agarwood		The leaves and flower of agarwood (Aquilaria malaccensis, also known as eaglewood or aloewood)	MVR; אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://upload.wikimedia.org/wikipedia/commons/2/2c/Aquilaria_malaccensis_-_Agar_Wood,_Eaglewood_-_Indian_Aloewood_at_Munnar_(4).jpg
WEB-0016_agarwood	WEB-0016_agarwood.jpg	© DXLINH, CC BY-SA 3.0, via Wikimedia Commons	Agarwood		Agarwood tree	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://commons.wikimedia.org/wiki/File:The_Aquilaria_tree_see_under_to_above.jpg
WEB-0017_agarwood	WEB-0017_agarwood.jpg	W. Saunders, Public domain, via Wikimedia Commons	Agarwood		Leaves of the agarwood tree	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://commons.wikimedia.org/wiki/File:AquilariaAstragalusRoyle.jpg
WEB-0018_agarwoodlog	WEB-0018_agarwoodlog.jpg	© Photo courtesy of Robert A. Blanchette, University of Minnesota (Attribution)	Agarwood	NATURAL WORLD	Cross-section of an agarwood log showing resinous core	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	
WEB-0019_alabaster_flacon	WEB-0019_alabaster_flacon.jpg	Jebulon, CC0, via Wikimedia Commons	Alabaster	OBJECTS, TOOLS & TRADES	Alabaster flacon with narrow neck and flat everted rim	MVR; ἀλάβαστρος	Realia:5.18.1.3	https://commons.wikimedia.org/wiki/File:WEB-0019_alabaster_flacon.jpg
WEB-0020_alabastron	WEB-0020_alabastron.jpg	Los Angeles County Museum of Art www.lacma.org, Public domain, via Wikimedia Commons	Alabaster	OBJECTS, TOOLS & TRADES	Alabaster jar from Egypt, 26th Dynasty (664 - 525 BCE)	MVR; ἀλάβαστρος; Egypt, 26th Dynasty (664 - 525 BCE)	Realia:5.18.1.3	https://commons.wikimedia.org/wiki/File:WEB-0020_alabastron.jpg
WEB-0021_almond	WEB-0021_almond.jpg	© antcaesar, CC BY-SA 2.0, via Wikimedia Commons	Almond		Ripe almond nut	לוּז; מְשֻׁקָּד; שָׁקֵד	Flora:2.1	https://commons.wikimedia.org/wiki/File:Madrigueras_(20578932389).jpg
WEB-0022_almondtree	WEB-0022_almondtree.jpg	"© צילום:ד""ר אבישי טייכר, CC BY 2.5, via Wikimedia Commons"	Almond	NATURAL WORLD	Almond trees in bloom	MVR; לוּז; שָׁקֵד	Flora:2.1	https://commons.wikimedia.org/wiki/File:PikiWiki_Israel_4042_almond_tree.jpg
WEB-0023_aloe_vera	WEB-0023_aloe_vera.jpg	© Biswarup Ganguly, CC BY 3.0, via Wikimedia Commons	Aloes	NATURAL WORLD	True aloe (Aloe vera)	MVR; אֲהָלוֹת; ἀλόη	Flora:4.2.1	https://commons.wikimedia.org/wiki/File:Aloe_vera_-_Agri-Horticultural_Society_of_India_-_Alipore_-_Kolkata_2013-01-05_2326.JPG
WEB-0024_aloe_vera	WEB-0024_aloe_vera.jpg	© Thamizhpparithi Maari, CC BY-SA 3.0, via Wikimedia Commons	Aloe		True aloe (Aloe vera)	אֲהָלוֹת; ἀλόη	Flora:4.2.1	https://commons.wikimedia.org/wiki/File:Aloe_barbadensis.JPG
WEB-0025_altocumulus_cloud	WEB-0025_altocumulus_cloud.jpg	© Rubinstein Felix., CC BY-SA 3.0, via Wikimedia Commons	Cloud		Altocumulus clouds	MVR		https://commons.wikimedia.org/wiki/File:WEB-0025_altocumulus_cloud.jpg
WEB-0026_amalek	WEB-0026_amalek.jpg	Nationalmuseum, Public domain	Amalek 	 	Artist's depiction of Joshua defeating Amalak (attr. Pauwel Casteels, Nationalmuseum, Stockholm) 	MVR 		https://upload.wikimedia.org/wikipedia/commons/9/99/Josua_Defeating_Amalek_(Pauwel_Casteels)_-_Nationalmuseum_-_17384.tif
WEB-0027_ancient_egypt_en	WEB-0027_ancient_egypt_en.jpg	Jeff Dahl, CC BY-SA 4.0, via Wikimedia Commons	Ancient Egypt 	 	Map of ancient Egypt, showing the Nile up to the fifth cataract, and major cities and sites of the Dynastic period (ca. 3150 BCE to 30 BCE). Cairo and Jerusalem are shown as reference cities. 	 		https://commons.wikimedia.org/wiki/File:Ancient_Egypt_map-en.svg
WEB-0028_ancient_worshipers	WEB-0028_ancient_worshipers.jpg	© שועל, CC BY-SA 4.0, via Wikimedia Commons	Worship 	 	One of thousands of Har Karkom petroglyphs, this one portrays two worshipers (Har Karkom ridge in the Negev desert, Israel) 	MVR 		https://upload.wikimedia.org/wikipedia/commons/b/bf/WEB-0028_ancient_worshipers.jpg
WEB-0029_animals_ark	WEB-0029_animals_ark.jpg	© G.dallorto, Attribution required, via Wikimedia Commons	Ark (Noah)		Noah's ark, a fresco in San Maurizio church in Milan, by Aurelio Luini.	MVR		https://upload.wikimedia.org/wikipedia/commons/9/9f/Milano_-_San_Maurizio_-_Affreschi_-_Foto_Giovanni_Dall%27Orto_14-Aug-2004_-_04.jpg
WEB-0030_annunciation_zechariah	WEB-0030_annunciation_zechariah.jpg	Нехлебаев Семен Сергеевич. Nekhlebayev Semen, Public domain, via Wikimedia Commons	Zechariah		The annunciation to Zechariah (fragment of Russian icon 'Execution of St. John Baptist')	MVR		https://upload.wikimedia.org/wikipedia/commons/b/bb/WEB-0030_annunciation_zechariah.jpg
WEB-0031_anoint	WEB-0031_anoint.jpg	Public domain, via Wikimedia Commons	Anoint 	 	The anointing of Solomon (Cornelis de Vos, Kunsthistorisches Museum) 	MVR 		https://commons.wikimedia.org/wiki/File:Cornelis_de_Vos_-_The_Anointing_of_Solomon.jpg
WEB-0032_ants	WEB-0032_ants.jpg	CC0, Pixabay	Ant	NATURAL WORLD	Ants on the stem of a plant	MVR	Fauna:6.1	https://pixabay.com/images/id-2510373/
WEB-0033_anvil	WEB-0033_anvil.jpg	© Lokilech, CC BY-SA 3.0, via Wikimedia Commons	Anvil 	 	An old anvel from 1736 	MVR; פַּעַם; ἄκμων 	Realia:1.11.2	https://upload.wikimedia.org/wikipedia/commons/3/38/Amboss_1736.jpg
WEB-0034_anvil_blacksmith	WEB-0034_anvil_blacksmith.jpg	© Wolfgang Sauber, CC BY-SA 3.0, via Wikimedia Commons	Anvil		Relief showing a forge where a blacksmith works at an anvil (1st c.; Archeological museum, Aquileia)	MVR; פַּעַם; ἄκμων	Realia:1.11.2	https://upload.wikimedia.org/wikipedia/commons/1/1c/MANA_-_Schmiede_2.jpg
WEB-0035_apples	WEB-0035_apples.jpg	© inkknife_2000 (7.5 million views +), CC BY-SA 2.0, via Wikimedia Commons	Apples		Ripe red apples on the tree	MVR	Flora:2.2	https://upload.wikimedia.org/wikipedia/commons/d/d2/Oak_Glen,_CA_Apples_10-19-14_(15582097321).jpg
WEB-0036_apple_tree	WEB-0036_apple_tree.jpg	© Mariospassos, CC BY-SA 3.0	Apple tree 	 	Apple trees with ripe fruit 	MVR 	Flora:2.2	https://upload.wikimedia.org/wikipedia/commons/a/a3/Macieiras.Bom.Jardim.da.Serra.SC.01.JPG
WEB-0037_archangel	WEB-0037_archangel.jpg	Jebulon, CC0, via Wikimedia Commons	Michael		Statue of the Archangel Michael defeating evil	MVR		https://commons.wikimedia.org/wiki/File:Archangel_Michael_church_Vienna.jpg
WEB-0038_arm	WEB-0038_arm.jpg	© EncycloPetey, CC BY-SA 3.0, via Wikimedia Commons	Muscle		A tensed arm muscle	MVR; זְרֹועַ; גִּיד		https://upload.wikimedia.org/wikipedia/commons/4/41/Arm_flex_supinate.jpg
WEB-0039_arrest_jesus_cesari	WEB-0039_arrest_jesus_cesari.jpg	Giuseppe Cesari, Public domain, via Wikimedia Commons	Arrest		Christ taken prisoner, by Cesari	MVR		https://commons.wikimedia.org/wiki/File:Cavalier_d'Arpino_-_Christ_Taken_Prisoner_-_WGA04690.jpg
WEB-0040_WEB-0754_reed_cluster	WEB-0040_WEB-0754_reed_cluster.jpg	© Donkey shot, CC BY-SA 3.0, via Wikimedia Commons	Reed		Reeds (Arundo donax) near the water	MVR; קָנֶה; καλάμη; κάλαμος	Flora:5.1.4	https://upload.wikimedia.org/wikipedia/commons/6/63/WEB-0040_WEB-0754_reed_cluster.jpg
WEB-0041_ash	WEB-0041_ash.jpg	© Editor5807, GFDL or CC BY 3.0, via Wikimedia Commons	Ashes 	 	Ashes from a camp fire in a field 	MVR; 		https://commons.wikimedia.org/wiki/File:Ash_pile_near_Arreton_Down.JPG
WEB-0042_ashurnasirpal_II_throne	WEB-0042_ashurnasirpal_II_throne.jpg	Scan by ru:user:Кучумов Андрей, Public domain, via Wikimedia Commons	Chair	OBJECTS, TOOLS & TRADES	Ashurnasirpal II sits on his throne while an assistant chases flies with fly-whisk	MVR; footstool; כִסֵּא; מוֹשָׁב; תְּכוּנָה; καθέδρα; πρωτοκαθεδρία; כֶּבֶשׁ; הֲדֹם; ὑποπόδιον	Realia:5.9	https://commons.wikimedia.org/wiki/File:Ashur-nasir-pal_II_throne.png
WEB-0043_athens_night	WEB-0043_athens_night.jpg	© C messier, CC BY-SA 4.0, via Wikimedia Commons	Athens		A view of the Acropolis in Athens at night	MVR; Ἀθῆναι; Ἀθηναῖος; Ἄρειος Πάγος		https://commons.wikimedia.org/wiki/File:%CE%91%CE%B8%CE%AE%CE%BD%CE%B1_6875_hdr.JPG
WEB-0044_acropolis_hill	WEB-0044_acropolis_hill.jpg	© A.Savin (Wikimedia Commons WikiPhotoSpace), FAL or CC BY-SA 3.0, via Wikimedia Commons	Athens		View of the Acropolis from Philopappos Hill in Athens	MVR; Ἀθῆναι; Ἀθηναῖος; Ἄρειος Πάγος; Ἀρεοπαγίτης		https://commons.wikimedia.org/wiki/File:Attica_06-13_Athens_50_View_from_Philopappos_-_Acropolis_Hill.jpg
WEB-0045_athens_night	WEB-0045_athens_night.jpg	© Tango7174, CC BY-SA 4.0-3.0-2.5-2.0-1.0, via Wikimedia Commons	Athens		Panorama from the Hill of the Pnyx, with the Temple of Hephaestus, left, the Stoa of Attalos and Mount Lykavittos, centre, the Acropolis, right	MVR; Ἀθῆναι; Ἀθηναῖος; Ἄρειος Πάγος; Ἀρεοπαγίτης		https://commons.wikimedia.org/wiki/File:Athens7_tango7174.jpg
WEB-0046_athos	WEB-0046_athos.jpg	© LucT, CC BY-SA 3.0, via Wikimedia Commons	Athos		A view of the sea from the Athos peninsula, Greece	MVR		https://commons.wikimedia.org/wiki/File:WEB-0046_athos.jpg
WEB-0047_aurochs	WEB-0047_aurochs.png	Source unknown	Wild ox	NATURAL WORLD	Representation of an extinct species of wild ox called Aurochs	MVR; רְאֵם	Fauna:2.34	
WEB-0048_baboon	WEB-0048_baboon.jpg	Dickbauch~commonswiki, Public domain, via Wikimedia Commons	Baboon	NATURAL WORLD	Hamadryas baboon, sacred animal for the ancient Egyptians	MVR	Fauna:2.3.1	https://commons.wikimedia.org/wiki/File:Mantelpavian_male_2_db.jpg
WEB-0049_baby_boy	WEB-0049_baby_boy.jpg	© Fretwurst, CC BY-SA 3.0, via Wikimedia Commons	Baby		A baby boy shortly after birth	MVR; פרה ורבה		https://commons.wikimedia.org/wiki/File:WEB-0049_baby_boy.jpg
WEB-0050_babylon_exil_fugel	WEB-0050_babylon_exil_fugel.jpg	Gebhard Fugel, Public domain, via Wikimedia Commons	Exile 	 	By the waters of Babylon (painting by Gebhard Fugel) 	MVR; exile; PSA 137; שׁבה; שְׁבִי; שָׁבִי; שִׁבְיָה; שְׁבִית 		https://upload.wikimedia.org/wikipedia/commons/8/8a/Gebhard_Fugel_An_den_Wassern_Babylons.jpg
WEB-0051_babylon_lion	WEB-0051_babylon_lion.jpg	Carole Raddato from FRANKFURT, Germany, CC BY-SA 2.0, via Wikimedia Commons	Babylon		Lion in glazed brick on wall of the Processional Way leading to the Ishtar Gate of Babylon (Nebuchadnezzar II)	MVR; Βαβυλών; אֲרִי; λέων;		https://commons.wikimedia.org/wiki/File:Lion_in_relief,_from_the_procession_street_in_Babylon,_Nebuchadnezzar_II_period,_604-562_BC,_Istanbul_Archaeology_Museum_(12252049776).jpg
WEB-0052_bactrian	WEB-0052_bactrian.jpg	CC0, Pixabay	Camel		Bactrian camel		Fauna:2.8	https://pixabay.com/images/id-2694771/
WEB-0053_balsam	WEB-0053_balsam.jpg	© Forestowlet, CC BY-SA 4.0, via Wikimedia Commons	Balm	NATURAL WORLD	Balsam tree (Commiphora madagascariensis)	MVR	Flora:4.2.4	https://commons.wikimedia.org/wiki/File:Commiphora_madagascariensis_03.jpg
WEB-0054_banquet	WEB-0054_banquet.jpg	© Jose Mario Pires, via Wikimedia Commons	Banquet 	 	A man (the deceased) reclines to feast, waited on by servants, while a dog eats the scraps that fall (Thasos, funerary stele, ca. 470 BCE, Istanbul Archaeology Museums) 	κυνάριον 		https://commons.wikimedia.org/wiki/File:Arch-Museum-Istanbul-62.jpg
WEB-0055_barleyhead	WEB-0055_barleyhead.jpg	© T.Voekler, CC BY-SA 3.0, via Wikimedia Commons	Barley	NATURAL WORLD	A head of the barley plant	MVR	Flora:3.1.1	https://commons.wikimedia.org/wiki/File:A_lady_beetle_perches_on_barley.JPG
WEB-0056_barley_grain	WEB-0056_barley_grain.jpg	© CSIRO, CC BY 3.0, via Wikimedia Commons	Grain		The grain of the barley plant	MVR; seed		https://commons.wikimedia.org/wiki/File:CSIRO_ScienceImage_10909_WEB-0056_barley_grain.jpg
WEB-0057_barley_seeds	WEB-0057_barley_seeds.jpg	© Rasbak, CC BY-SA 3.0, via Wikimedia Commons	Barley	NATURAL WORLD	Barley seeds	MVR; κόκκος; σπόρος; זֶרַע	Flora:3.1.1	https://commons.wikimedia.org/wiki/File:Gerstenkorrels_Hordeum_vulgare.jpg
WEB-0058_barnowl	WEB-0058_barnowl.jpg	CC0, Pixabay	Owl	NATURAL WORLD	Barn owl	MVR	Fauna:3.17.8	https://pixabay.com/images/id-3155878/
WEB-0059_bartimaeus_gill	WEB-0059_bartimaeus_gill.jpg	© ceridwen, CC BY-SA 2.0, via Wikimedia Commons	Bartimaeus		The words 'Domine, ut videam' (Lord, that I may see!), are the Latin for Bartimaeus's answer to Jesus' question, according to the Gospel of Mark (Eric Gill relief, Moorfields Eye Hospital)	MVR		https://commons.wikimedia.org/wiki/File:Close-up_of_Eric_Gill_relief,_Moorfields_Eye_Hospital_-_geograph.org.uk_-_865416.jpg
WEB-0060_bamboo_baskets	WEB-0060_bamboo_baskets.jpg	© Habib M’henni, CC BY-SA 3.0, via Wikimedia Commons	Basket	OBJECTS, TOOLS & TRADES	A collection of bamboo baskets in a market	MVR	Realia:5.18.2	https://commons.wikimedia.org/wiki/File:Couffins_en_bambous,_Lamta,_Tunisie_mai_2013.jpg
WEB-0061_bats	WEB-0061_bats.jpg	© Oren Peles, CC BY 2.5, via Wikimedia Commons	Bat		Common fruit bat (Rousettus aegyptiacus) flying in Israel		Fauna:2.5	https://commons.wikimedia.org/wiki/File:PikiWiki_Israel_11327_Wildlife_and_Plants_of_Israel-Bat-003.jpg
WEB-0062_battering_ram	WEB-0062_battering_ram.jpg	Zunkir, CC BY-SA 4.0, via Wikimedia Commons	Battering ram 	 	Assyrian troops storm a city using a battering ram (bronze relief, Balawat Gates) 	חֶרֶב; כַּר; קְבֹל; ἑλεόπολις; κριός 	Realia:2.19.7	https://commons.wikimedia.org/wiki/File:Portes_de_Balawat_-_siege_et_repression_Syrie_Nord_858.jpg
WEB-0063_battle_cesari	WEB-0063_battle_cesari.jpg	Workshop of Giuseppe Cesari, Public domain, via Wikimedia Commons	Battle		Depiction of a battle scene (from the workshop of Cesari)	MVR		https://commons.wikimedia.org/wiki/File:Cavalier_d'Arpino_and_workshop_-_Battle_against_the_inhabitants_of_Veii_and_Fidenae_-_Google_Art_Project.jpg
WEB-0064_bear	WEB-0064_bear.jpg	© Amos Ben Gershom, Israel Government Press Office	Bear	NATURAL WORLD	Syrian brown bear at the Biblical Zoo in Jerusalem	MVR; D1067-079.JPG	Fauna:2.6	https://gpophotoeng.gov.il/fotoweb/cmdrequest/rest/Download.fwx/D1067-079.JPG?D=C81D6356E1BFEA156E1871B36C2AB119898895604DC1D2ADB599A2E66BBB14531CC84BC505428176FD39000DC9A02C4F4625D291663D8FC24862086D6FB61F3F8E994C660459D190EB4CDC42315744F2943A594F15C0DAF50BFE0D1DEDBA2FDEF7A419E4B9A00401E05A5B36E8395F2E4E8F58F31E22F552&ForceSaveDialog=yes
WEB-0065_beardedvulture	WEB-0065_beardedvulture.jpg	© Hswaton, CC BY 3.0, via Wikimedia Commons	Vulture	NATURAL WORLD	Bearded vulture (Gypaetus barbatus)	MVR; נֶשֶׁר; עָזְנִיָּה; עַיִט; פֶּרֶס; רָחָם, רָחָמָה; ἀετός	Fauna:3.8	https://commons.wikimedia.org/wiki/File:Gaensegeier2.jpg
WEB-0066_bears	WEB-0066_bears.jpg	© Yoninah, CC BY-SA 3.0, via Wikimedia Commons	Bear		Syrian brown bears		Fauna:2.6	https://commons.wikimedia.org/wiki/File:Syrian_brown_bears_01.jpg
WEB-0067_bees	WEB-0067_bees.jpg	CC0, Pixabay	Bee	NATURAL WORLD	A swarm of bees	MVR; דְּבוֹרָה; μέλι; μέλισσα	Fauna:6.2	https://pixabay.com/images/id-326334/
