Id	FileName	Copyright	Title	Subject	Description	Tags	ThematicLink	URL	updatedURL
KNW-0436_broom_en	KNW-0436_broom_en.png	© Juan R. Lascorz, via Wikimedia Commons	Broom		Brooms	מַטְאֲטֵא; σαρόω	Realia:5.21.2	https://commons.wikimedia.org/wiki/File:37.Escopallos.JPG	https://upload.wikimedia.org/wikipedia/commons/e/e1/37.Escopallos.JPG
PTZ-0102_WEB-0675_nettles	PTZ-0102_WEB-0675_nettles.jpg	© Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0, via Wikimedia Commons	Nettle		Nettle plant	חָרוּל; סָרָב; סִרְפַּד; קִמּוֹשׂ	Flora:6.2.2	https://commons.wikimedia.org/wiki/File:Urtica_membranacea_kz08.jpg	https://upload.wikimedia.org/wikipedia/commons/b/bb/Urtica_membranacea_kz08.jpg
PTZ-0133_tulip	PTZ-0133_tulip.jpg	© Zachi Evenor, CC BY 3.0, via Wikimedia Commons	Tulip		Tulip	חֲבַצֶּלֶת	Flora:6.1.5	https://commons.wikimedia.org/wiki/File:Tulipa-Sharonensis-ZE-5487.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8f/Tulipa-Sharonensis-ZE-5487.jpg
UBS-0003_flea	UBS-0003_flea.jpg	© Katja ZSM, CC BY-SA 3.0, via Wikimedia Commons	Flea		Flea	פַּרְעֹשׁ	Fauna:6.3	https://commons.wikimedia.org/wiki/File:Pulex_irritans_female_ZSM.jpg	https://upload.wikimedia.org/wikipedia/commons/3/32/Pulex_irritans_female_ZSM.jpg
UBS-0011_linen_wrapping	UBS-0011_linen_wrapping.jpg	© Biblioteca Museu Víctor Balaguer, CC BY-SA 4.0, via Wikimedia Commons	Linen		Strips of linen used to wrap mummified bodies in Egypt	אֵטוּן; בַּד; בּוּץ ; פֵּשֶׁת; שֵׁשׁ; βύσσινος; βύσσος; λίνον; λινοῦς; ὀθόνιον; σινδών	Realia:1.5.3.7	https://commons.wikimedia.org/wiki/File:BMVB_benes_1380.JPG	https://upload.wikimedia.org/wikipedia/commons/9/90/BMVB_benes_1380.JPG
UBS-0012_patches_sewn	UBS-0012_patches_sewn.jpg	Gary Todd, Israel Museum, CC0, via Wikimedia Commons	Patch		Patches sewn on an old waterskin	תלא; ἐπίβλημα; πλήρωμα; ῥάκος	Realia:1.5.3.12	https://commons.wikimedia.org/wiki/File:Leather_Waterskin,_Cave_of_the_Letters,_Judean_Desert,_132-135_AD_(28349539727).jpg	https://upload.wikimedia.org/wikipedia/commons/a/ae/Leather_Waterskin%2C_Cave_of_the_Letters%2C_Judean_Desert%2C_132-135_AD_%2828349539727%29.jpg
WEB-0001_aaron_rod	WEB-0001_aaron_rod.jpg	Julius Schnorr von Carolsfeld, Public domain	Aaron 	 	'Aaron's rod budded and blossomed' (woodcut by Julius Schnorr von Carolsfeld; 1860s) 	MVR 		https://upload.wikimedia.org/wikipedia/commons/c/cb/Foster_Bible_Pictures_0078-1_Aaron%27s_Rod_Budded_and_Blossomed.jpg	
WEB-0002_acaciaflower	WEB-0002_acaciaflower.jpg	© B. Attard, CC BY-SA 3.0, via Wikimedia Commons	Acacia		Acacia flowers	שִׁטָּה	Flora:1.1	https://commons.wikimedia.org/wiki/File:Acacia_tortilis_subsp_heteracantha,_blomtyd,_Lekkerbreek-plaas,_b.jpg	https://upload.wikimedia.org/wikipedia/commons/c/ce/Acacia_tortilis_subsp_heteracantha%2C_blomtyd%2C_Lekkerbreek-plaas%2C_b.jpg
WEB-0003_acaciathorns	WEB-0003_acaciathorns.jpg	© Forestowlet, CC BY-SA 4.0, via Wikimedia Commons	Acacia 	 	Thorns on an acacia branch (desert national park, Jaisalmer, Rajasthan) 	ἀκάνθινος; ἄκανθα; שִׁטָּה 	Flora:1.1	https://commons.wikimedia.org/wiki/File:Acacia_tortilis_05.jpg	https://upload.wikimedia.org/wikipedia/commons/3/3e/Acacia_tortilis_05.jpg
WEB-0004_acorn	WEB-0004_acorn.jpg	© Giancarlo Dessi, CC BY-SA 3.0, via Wikimedia Commons	Oak	NATURAL WORLD	Acorn seeds from a kermes oak tree	MVR	Flora:1.16	https://commons.wikimedia.org/wiki/File:Quercus_coccifera_g3.jpg	https://upload.wikimedia.org/wikipedia/commons/7/7a/Quercus_coccifera_g3.jpg
WEB-0005_acropolis_athens	WEB-0005_acropolis_athens.jpg	Jebulon, CC0, via Wikimedia Commons	Moon		Acropolis of Athens, from the west, in the evening light	MVR; Ἀθῆναι; Ἀθηναῖος; Ἄρειος Πάγος; Ἀρεοπαγίτης; יָרֵחַ; σελήνη		https://commons.wikimedia.org/wiki/File:Erechtheum_Acropolis_Athens_evening_moon.jpg	https://upload.wikimedia.org/wikipedia/commons/9/9f/Erechtheum_Acropolis_Athens_evening_moon.jpg
WEB-0006_addax	WEB-0006_addax.jpg	© Ltshears, CC BY-SA 3.0, via Wikimedia Commons	Addax		Addax		Fauna:2.2	https://commons.wikimedia.org/wiki/File:Addax_at_the_Louisville_Zoo.jpg	https://upload.wikimedia.org/wikipedia/commons/b/b2/Addax_at_the_Louisville_Zoo.jpg
WEB-0007_addax	WEB-0007_addax.jpg	© Zachi Evenor, CC BY 3.0 or CC BY 2.0, via Wikimedia Commons	Addax	NATURAL WORLD	Two addaxes grazing (Addax nasomaculatus)	MVR; דִּישׁוֹן	Fauna:2.2	https://upload.wikimedia.org/wikipedia/commons/3/31/Addax-1-Zachi-Evenor.jpg	
WEB-0008_adze	WEB-0008_adze.jpg	Gary Todd, Israel Museum, CC0, via Wikimedia Commons	Adze 	 	An axe with a stone head, and a wooden adze (Israel Museum) 	בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς 	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:Stone_Axe_%26_Adze_(41406270810).jpg	https://upload.wikimedia.org/wikipedia/commons/9/9f/Stone_Axe_%26_Adze_%2841406270810%29.jpg
WEB-0009_adze	WEB-0009_adze.jpg	© Tropenmuseum, part of the National Museum of World Cultures, CC BY-SA 3.0, via Wikimedia Commons	Adze	OBJECTS, TOOLS & TRADES	Adze with a metal blade	MVR; בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:COLLECTIE_TROPENMUSEUM_Dissel_met_houten_steel_TMnr_15-236.jpg	https://upload.wikimedia.org/wikipedia/commons/d/de/COLLECTIE_TROPENMUSEUM_Dissel_met_houten_steel_TMnr_15-236.jpg
WEB-0010_adze	WEB-0010_adze.jpg	© sarahkassim (Flickr: Guimarães), CC BY 2.0, via Wikimedia Commons	Adze	OBJECTS, TOOLS & TRADES	Adze with a stone head	MVR; בַּרְזֶל; גַּרְזֶן; מַעֲצָד; קַרְדֹּם; ἀξίνη; πέλεκυς	Realia:1.1.9.3	https://commons.wikimedia.org/wiki/File:Objecto_no_Museu_da_Sociedade_Martins_Sarmento_em_Guimar%C3%A3es.jpg	https://upload.wikimedia.org/wikipedia/commons/3/32/Objecto_no_Museu_da_Sociedade_Martins_Sarmento_em_Guimar%C3%A3es.jpg
WEB-0011_africanelephant	WEB-0011_africanelephant.jpg	CC0, Pixabay	Elephant	NATURAL WORLD	An African elephant	MVR	Fauna:2.14	https://pixabay.com/images/id-2923912/	
WEB-0012_agama_female	WEB-0012_agama_female.jpg	David Gunn Daviegunn, Public domain, via Wikimedia Commons	Lizard	NATURAL WORLD	Agama lizard	MVR; ἑρπετόν; רֶמֶשׂ; לְטָאָה	Fauna:4.3	https://commons.wikimedia.org/wiki/File:Agama_WEB-0012_agama_female.jpg	
WEB-0013_agama_lizard	WEB-0013_agama_lizard.jpg	© Carl Purcell, CC BY-SA 3.0, via Wikimedia Commons	Lizard	NATURAL WORLD	Agama lizard	MVR; רֶמֶשׂ; לְטָאָה	Fauna:4.6	https://commons.wikimedia.org/wiki/File:Agama_lizard_on_hot_rock.jpg	https://upload.wikimedia.org/wikipedia/commons/f/fd/Agama_lizard_on_hot_rock.jpg
WEB-0014_agama_lizards	WEB-0014_agama_lizards.jpg	Norbert Potensky, Public domain, via Wikimedia Commons	Lizard		Agama lizard	לְטָאָה	Fauna:4.6	https://commons.wikimedia.org/wiki/File:Red-headed_rock_agama_1.jpg	https://upload.wikimedia.org/wikipedia/commons/4/4d/Red-headed_rock_agama_1.jpg
WEB-0015_agarwood	WEB-0015_agarwood.jpg	© Vinayaraj, CC BY-SA 4.0, via Wikimedia Commons	Agarwood		The leaves and flower of agarwood (Aquilaria malaccensis, also known as eaglewood or aloewood)	MVR; אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://upload.wikimedia.org/wikipedia/commons/2/2c/Aquilaria_malaccensis_-_Agar_Wood,_Eaglewood_-_Indian_Aloewood_at_Munnar_(4).jpg	
WEB-0016_agarwood	WEB-0016_agarwood.jpg	© DXLINH, CC BY-SA 3.0, via Wikimedia Commons	Agarwood		Agarwood tree	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://commons.wikimedia.org/wiki/File:The_Aquilaria_tree_see_under_to_above.jpg	https://upload.wikimedia.org/wikipedia/commons/3/32/The_Aquilaria_tree_see_under_to_above.jpg
WEB-0017_agarwood	WEB-0017_agarwood.jpg	W. Saunders, Public domain, via Wikimedia Commons	Agarwood		Leaves of the agarwood tree	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1	https://commons.wikimedia.org/wiki/File:AquilariaAstragalusRoyle.jpg	https://upload.wikimedia.org/wikipedia/commons/e/e6/AquilariaAstragalusRoyle.jpg
WEB-0018_agarwoodlog	WEB-0018_agarwoodlog.jpg	© Photo courtesy of Robert A. Blanchette, University of Minnesota (Attribution)	Agarwood	NATURAL WORLD	Cross-section of an agarwood log showing resinous core	אֲהָלִים; אֲהָלוֹת	Flora:4.1.1		
WEB-0019_alabaster_flacon	WEB-0019_alabaster_flacon.jpg	Jebulon, CC0, via Wikimedia Commons	Alabaster	OBJECTS, TOOLS & TRADES	Alabaster flacon with narrow neck and flat everted rim	MVR; ἀλάβαστρος	Realia:5.18.1.3	https://commons.wikimedia.org/wiki/File:WEB-0019_alabaster_flacon.jpg	
WEB-0020_alabastron	WEB-0020_alabastron.jpg	Los Angeles County Museum of Art www.lacma.org, Public domain, via Wikimedia Commons	Alabaster	OBJECTS, TOOLS & TRADES	Alabaster jar from Egypt, 26th Dynasty (664 - 525 BCE)	MVR; ἀλάβαστρος; Egypt, 26th Dynasty (664 - 525 BCE)	Realia:5.18.1.3	https://commons.wikimedia.org/wiki/File:WEB-0020_alabastron.jpg	
WEB-0021_almond	WEB-0021_almond.jpg	© antcaesar, CC BY-SA 2.0, via Wikimedia Commons	Almond		Ripe almond nut	לוּז; מְשֻׁקָּד; שָׁקֵד	Flora:2.1	https://commons.wikimedia.org/wiki/File:Madrigueras_(20578932389).jpg	https://upload.wikimedia.org/wikipedia/commons/0/09/Madrigueras_%2820578932389%29.jpg
WEB-0022_almondtree	WEB-0022_almondtree.jpg	"© צילום:ד""ר אבישי טייכר, CC BY 2.5, via Wikimedia Commons"	Almond	NATURAL WORLD	Almond trees in bloom	MVR; לוּז; שָׁקֵד	Flora:2.1	https://commons.wikimedia.org/wiki/File:PikiWiki_Israel_4042_almond_tree.jpg	https://upload.wikimedia.org/wikipedia/commons/4/47/PikiWiki_Israel_4042_almond_tree.jpg
WEB-0023_aloe_vera	WEB-0023_aloe_vera.jpg	© Biswarup Ganguly, CC BY 3.0, via Wikimedia Commons	Aloes	NATURAL WORLD	True aloe (Aloe vera)	MVR; אֲהָלוֹת; ἀλόη	Flora:4.2.1	https://commons.wikimedia.org/wiki/File:Aloe_vera_-_Agri-Horticultural_Society_of_India_-_Alipore_-_Kolkata_2013-01-05_2326.JPG	https://upload.wikimedia.org/wikipedia/commons/a/a1/Aloe_vera_-_Agri-Horticultural_Society_of_India_-_Alipore_-_Kolkata_2013-01-05_2326.JPG
WEB-0024_aloe_vera	WEB-0024_aloe_vera.jpg	© Thamizhpparithi Maari, CC BY-SA 3.0, via Wikimedia Commons	Aloe		True aloe (Aloe vera)	אֲהָלוֹת; ἀλόη	Flora:4.2.1	https://commons.wikimedia.org/wiki/File:Aloe_barbadensis.JPG	https://upload.wikimedia.org/wikipedia/commons/6/6a/Aloe_barbadensis.JPG
WEB-0025_altocumulus_cloud	WEB-0025_altocumulus_cloud.jpg	© Rubinstein Felix., CC BY-SA 3.0, via Wikimedia Commons	Cloud		Altocumulus clouds	MVR		https://commons.wikimedia.org/wiki/File:WEB-0025_altocumulus_cloud.jpg	
